time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
16.51214,128.855,11330,-415.2133,0.12,-611.4786,False,0,0,0,0,0
17.01279,132.7551,11330,-414.7881,0.12,-607.6108,False,0,0,0,0,0
17.50473,136.4993,11330,-414.345,0.12,-603.8929,False,0,0,0,0,0
18.00566,140.3994,11330,-413.8521,0.12,-600.0142,False,0,0,0,0,0
18.51392,144.4556,11330,-413.3121,0.12,-595.9761,False,0,0,0,0,0
19.00177,148.1997,11330,-412.7959,0.12,-592.2447,False,0,0,0,0,0
19.50909,152.0998,11330,-412.2458,0.12,-588.3517,False,0,0,0,0,0
20.01497,156.156,11330,-411.6673,0.12,-584.2963,False,0,0,0,0,0
20.5143,160.0561,11330,-411.1118,0.12,-580.3905,False,0,0,0,0,0
21.01479,163.9563,11330,-410.5648,0.12,-576.4816,False,0,0,0,0,0
21.50552,167.7004,11330,-410.0541,0.12,-572.7237,False,0,0,0,0,0
22.00721,171.6006,11330,-409.543,0.12,-568.803,False,0,0,0,0,0
22.50979,175.6567,11330,-409.0408,0.12,-564.7199,False,0,0,0,0,0
23.01152,179.5569,11330,-408.5925,0.12,-560.7895,False,0,0,0,0,0
23.50431,183.301,12812.88,-408.1999,0.12,-557.0135,False,0,0,0,0,0
24.00466,187.2012,12812.88,-407.8351,0.12,-553.0751,False,0,0,0,0,0
24.50722,191.1013,12812.88,-407.5195,0.12,-549.1328,False,0,0,0,0,0
25.00062,195.0014,12812.88,-407.2574,0.12,-545.1876,False,0,0,0,0,0
25.50342,198.9016,12812.88,-407.0522,0.12,-541.2408,False,0,0,0,0,0
26.01082,202.9577,12812.88,-406.9021,0.12,-537.1337,False,0,0,0,0,0
26.5088,206.7019,12812.88,-406.8225,0.12,-533.3409,False,0,0,0,0,0
27.00933,210.602,12812.88,-406.8007,0.12,-529.39,False,0,0,0,0,0
27.5074,214.5022,12812.88,-406.8419,0.12,-525.4394,False,0,0,0,0,0
28.00743,218.4023,12812.88,-406.9453,0.12,-521.489,False,0,0,0,0,0
28.51171,222.4585,12812.88,-407.1172,0.12,-517.3822,False,0,0,0,0,0
29.0135,226.3586,12812.88,-407.3424,0.12,-513.4357,False,0,0,0,0,0
29.51215,230.2588,12812.88,-407.6234,0.12,-509.4924,False,0,0,0,0,0
30.00399,234.0029,12812.88,-407.9427,0.12,-505.7092,False,0,0,0,0,0
30.50798,237.9031,12812.88,-408.3221,0.12,-501.7713,False,0,0,0,0,0
31.00284,241.8032,12812.88,-408.7446,0.12,-497.8384,False,0,0,0,0,0
31.50248,245.7034,12812.88,-409.205,0.12,-493.9106,False,0,0,0,0,0
32.01914,249.7595,12812.88,-409.7182,0.12,-489.8305,False,0,0,0,0,0
32.52755,253.6597,12812.88,-410.238,0.12,-485.9109,False,0,0,0,0,0
33.00503,257.4038,12812.88,-410.7545,0.12,-482.1534,False,0,0,0,0,0
33.50306,261.3039,12812.88,-411.3048,0.12,-478.2459,False,0,0,0,0,0
34.00697,265.2041,12812.88,-411.8611,0.12,-474.3445,False,0,0,0,0,0
34.50767,269.1042,12812.88,-412.4167,0.12,-470.4467,False,0,0,0,0,0
35.01215,273.1604,12812.88,-412.9854,0.12,-466.3987,False,0,0,0,0,0
35.51809,277.0605,12812.88,-413.5169,0.12,-462.5126,False,0,0,0,0,0
36.02089,280.9607,12812.88,-414.0268,0.12,-458.6325,False,0,0,0,0,0
36.51382,284.8608,12812.88,-414.5093,0.128,-454.7576,False,0,0,0,0,0
37.00072,288.6049,12812.88,-414.941,0.128,-451.0401,False,0,0,0,0,0
37.50053,292.5051,12812.88,-415.3522,0.128,-447.173,False,0,0,0,0,0
38.00687,296.4052,12812.88,-415.7196,0.128,-443.3107,False,0,0,0,0,0
38.50742,300.3054,12812.88,-416.0388,0.128,-439.4518,False,0,0,0,0,0
39.01386,304.3615,12812.88,-416.3156,0.128,-435.4417,False,0,0,0,0,0
39.51542,308.2617,12812.88,-416.5252,0.128,-431.5879,False,0,0,0,0,0
40.01066,312.1618,12812.88,-416.6768,0.12,-427.7367,False,0,0,0,0,0
40.50355,315.906,12812.88,-416.7655,0.12,-424.0449,False,0,0,0,0,0
41.01217,319.9621,12812.88,-416.7998,0.12,-420.0226,False,0,0,0,0,0
41.50465,323.7063,12812.88,-416.8013,0.12,-416.2986,False,0,0,0,0,0
42.01413,327.7624,12812.88,-416.8,0.12,-412.2376,False,0,0,0,0,0
42.50895,331.5066,12812.88,-416.8,0.12,-408.4935,False,0,0,0,0,0
43.01207,335.5627,12812.88,-416.8,0.12,-404.4373,False,0,0,0,0,0
43.5087,339.3069,12812.88,-416.8,0.12,-400.6931,False,0,0,0,0,0
44.00771,343.207,12812.88,-416.8,0.12,-396.793,False,0,0,0,0,0
44.51504,347.2632,12812.88,-416.8,0.12,-392.7368,False,0,0,0,0,0
45.00081,351.0073,12812.88,-416.8016,0.12,-388.9828,False,0,0,0,0,0
45.50183,354.9074,12812.88,-416.801,0.12,-385.1187,False,0,0,0,0,0
46.00725,358.8076,12812.88,-416.7433,0.12,-381.3372,False,0,0,0,0,0
46.50761,362.7077,12812.88,-416.5778,0.12,-377.722,False,0,0,0,0,0
47.00804,366.6079,12812.88,-416.297,0.12,-374.2224,False,0,0,0,0,0
47.51609,370.664,12812.88,-415.8859,0.12,-370.7141,False,0,0,0,0,0
48.01617,374.5642,12812.88,-415.3769,0.12,-367.4662,False,0,0,0,0,0
48.51446,378.4643,12812.88,-414.7574,0.12,-364.3414,False,0,0,0,0,0
49.01849,382.3645,12812.88,-414.028,0.12,-361.3399,False,0,0,0,0,0
49.5072,386.1086,12812.88,-413.2254,0.12,-358.5736,False,0,0,0,0,0
50.01197,390.1648,12812.88,-412.2438,0.12,-355.7041,False,0,0,0,0,0
50.50692,393.9089,12812.88,-411.2345,0.12,-353.1708,False,0,0,0,0,0
51.00918,397.8091,12812.88,-410.079,0.12,-350.6496,False,0,0,0,0,0
51.50055,401.7092,12812.88,-408.8176,0.12,-348.2474,False,0,0,0,0,0
52.00205,405.6093,12812.88,-407.4504,0.12,-345.9619,False,0,0,0,0,0
52.50586,409.5095,12812.88,-405.9775,0.12,-343.7917,False,0,0,0,0,0
53.01118,413.5656,12812.88,-404.3333,0.12,-341.6552,False,0,0,0,0,0
53.50657,417.3098,12812.88,-402.7128,0.12,-339.79,False,0,0,0,0,0
54.00376,421.2099,12812.88,-400.9192,0.12,-337.9552,False,0,0,0,0,0
54.50284,425.1101,12812.88,-399.016,0.12,-336.2285,False,0,0,0,0,0
55.00789,429.0102,12812.88,-397.002,0.12,-334.609,False,0,0,0,0,0
