time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
26.00496,-1,11330,240,0.145,239.2947,True,16.86697,15,0,0,0
26.51079,-1,11330,240,0.145,239.2947,True,17.3728,15,0,0,0
27.00891,-1,11330,240,0.145,239.2947,True,17.87092,16,0,0,0
27.52396,-1,11330,240,0.145,239.2947,True,18.38597,16,0,0,0
28.01204,-1,11330,240,0.145,239.2947,True,18.87405,17,0,0,0
28.50368,-1,11330,240,0.145,239.2947,True,19.36569,17,0,0,0
29.00392,-1,11330,240,0.145,239.2947,True,19.86593,18,0,0,0
29.51114,-1,11330,240,0.145,239.2947,True,20.37315,18,0,0,0
30.02379,-1,11330,240,0.145,239.2947,True,20.8858,19,0,0,0
30.50132,-1,11330,240,0.145,239.2947,True,21.36333,19,0,0,0
31.0117,-1,11330,240,0.145,239.2947,True,21.87371,20,0,0,0
31.50024,-1,11330,240,0.145,239.2947,True,22.36224,20,0,0,0
32.00487,-1,11330,240,0.145,239.2947,True,22.86687,21,0,0,0
32.51109,-1,11330,240,0.145,239.2947,True,23.3731,22,0,0,0
33.00049,-1,11330,240,0.145,239.2947,True,23.8625,22,0,0,0
33.51064,-1,11330,240,0.145,239.2947,True,24.37266,23,0,0,0
34.0067,-1,11330,240,0.145,239.2947,True,24.86871,23,0,0,0
34.51467,-1,11330,240,0.145,239.2947,True,25.37668,24,0,0,0
35.0105,-1,10942,240,0.145,239.2947,True,25.87251,25,0,0,0
35.516,-1,10942,240,0.145,239.2947,True,26.37802,25,0,0,0
36.01821,-1,10866,240,0.145,239.2947,True,26.88023,26,0,0,0
36.51799,-1,10866,240,0.145,239.2947,True,27.38,27,0,0,0
37.02206,-1,10634,240,0.145,239.2947,True,27.88407,27,0,0,0
37.53361,-1,10402,240,0.145,239.2947,True,28.39562,27,0,0,0
38.00687,-1,10402,240,0.145,239.2947,True,28.86888,27,0,0,0
38.50088,-1,10170,240,0.145,239.2947,True,29.36288,27,0,0,0
39.00293,-1,10170,240,0.145,239.2947,True,29.86494,27,0,0,0
39.50037,-1,11330,240,0.145,242.1028,False,30,27,0,0,0
40.00645,-1,11330,240,0.145,246.0029,False,30,27,0,0,0
40.52035,-1,11330,240,0.145,250.0591,False,30,27,0,0,0
41.00201,-1,11330,240,0.145,253.8032,False,30,27,0,0,0
41.50643,-1,11330,240,0.145,257.7034,False,30,27,0,0,0
42.00733,-1,11330,240,0.145,261.6035,False,30,27,0,0,0
42.50341,-1,11330,240,0.12,265.5037,False,30,27,0,0,0
43.00944,-1,11330,240,0.12,269.4038,False,30,27,0,0,0
43.50605,-1,11330,240,0.12,273.304,False,30,27,0,0,0
