time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
163.7246,1277.058,100000,-102.4917,5.117695,216.5641,False,0,0,678,0
163.9918,1279.086,100000,-100.6272,5.118703,216.6691,False,0,0,679,0
164.2566,1281.114,100000,-98.73661,5.119391,216.7413,False,0,0,680,0
164.5238,1283.298,100000,-96.64117,5.11981,216.782,False,0,0,681,0
164.7906,1285.326,100000,-94.65319,5.120006,216.8028,False,0,0,683,0
165.0579,1287.354,100000,-92.65833,5.120048,216.8064,False,0,0,684,0
165.3223,1289.538,100000,-90.46654,5.120009,216.8004,False,0,0,685,0
165.5895,1291.567,100000,-88.43338,5.12,216.8,False,0,0,686,0
165.8579,1293.595,100000,-86.40549,5.12,216.8,False,0,0,688,0
166.1239,1295.779,100000,-84.22134,5.12,216.8,False,0,0,689,0
166.3897,1297.807,100000,-82.19315,5.12,216.8,False,0,0,690,0
166.6574,1299.835,100000,-80.16525,5.12,216.8,False,0,0,691,0
166.9247,1302.019,100000,-77.98111,5.12,216.8,False,0,0,692,0
167.1894,1304.047,100000,-75.95291,5.12,216.8,False,0,0,694,0
167.4569,1306.075,100000,-73.92502,5.12,216.8,False,0,0,695,0
167.7596,1308.571,100000,-71.42883,5.12,216.8,False,0,0,696,0
168.026,1310.599,100000,-69.40079,5.119999,216.8,False,0,0,697,0
168.2911,1312.627,100000,-67.37274,5.12,216.8,False,0,0,699,0
168.5586,1314.811,100000,-65.18904,5.12,216.8,False,0,0,700,0
168.8242,1316.839,100000,-63.16837,5.12,216.7967,False,0,0,701,0
169.0933,1318.868,100000,-61.12616,5.12,216.7948,False,0,0,702,0
169.3604,1321.052,100000,-58.92003,5.12,216.8086,False,0,0,704,0
169.626,1323.08,100000,-56.86745,5.12,216.8333,False,0,0,705,0
169.8911,1325.108,100000,-54.79331,5.12,216.8817,False,0,0,706,0
170.1582,1327.136,100000,-52.72471,5.12,216.9591,False,0,0,707,0
170.426,1329.32,100000,-50.50103,5.12,217.0701,False,0,0,708,0
170.6916,1331.348,100000,-48.43551,5.12,217.1979,False,0,0,710,0
170.9603,1333.532,100000,-46.21384,5.12,217.362,False,0,0,711,0
171.2262,1335.56,100000,-44.15333,5.12,217.5364,False,0,0,712,0
171.4917,1337.588,100000,-42.09224,5.12,217.7329,False,0,0,713,0
171.7595,1339.772,100000,-39.87909,5.12,217.9656,False,0,0,715,0
172.0252,1341.8,100000,-37.82173,5.12,218.2007,False,0,0,716,0
172.2936,1343.828,100000,-35.77013,5.12,218.4528,False,0,0,717,0
172.56,1346.013,100000,-33.56259,5.12,218.7397,False,0,0,718,0
172.8243,1348.041,100000,-31.51446,5.12,219.0211,False,0,0,719,0
173.0924,1350.069,100000,-29.47312,5.12,219.3122,False,0,0,721,0
173.3607,1352.253,100000,-27.27156,5.12,219.6372,False,0,0,722,0
173.6263,1354.281,100000,-25.23568,5.12,219.9464,False,0,0,723,0
173.8937,1356.309,100000,-23.19905,5.12,220.2598,False,0,0,724,0
174.1598,1358.493,100000,-21.01044,5.12,220.6026,False,0,0,726,0
174.4267,1360.521,100000,-18.9839,5.119999,220.92,False,0,0,727,0
174.6914,1362.549,100000,-16.95508,5.12,221.2384,False,0,0,728,0
174.9605,1364.733,100000,-14.78056,5.12,221.5766,False,0,0,729,0
175.2257,1366.761,100000,-12.75813,5.12,221.8856,False,0,0,730,0
175.4931,1368.789,100000,-10.74234,5.12,222.1882,False,0,0,732,0
175.7552,1370.818,100000,-8.729966,5.12,222.4803,False,0,0,733,0
176.0222,1373.002,100000,-6.562804,5.12,222.7846,False,0,0,734,0
176.2874,1375.03,100000,-4.558047,5.12,223.0528,False,0,0,735,0
176.5542,1377.058,100000,-2.550285,5.12,223.3073,False,0,0,736,0
176.8231,1379.242,100000,-0.395051,5.12,223.564,False,0,0,738,0
177.0887,1381.27,100000,1.605364,5.12,223.7832,False,0,0,739,0
177.3541,1383.298,100000,3.603784,5.12,223.9848,False,0,0,740,0
177.6219,1385.482,100000,5.751366,5.12,224.1785,False,0,0,741,0
177.8884,1387.51,100000,7.746905,5.12,224.3371,False,0,0,743,0
178.1544,1389.538,100000,9.737887,5.12,224.4735,False,0,0,744,0
178.4218,1391.722,100000,11.88271,5.12,224.5943,False,0,0,745,0
178.6879,1393.75,100000,13.87262,5.12,224.6825,False,0,0,746,0
178.9556,1395.778,100000,15.86105,5.12,224.7461,False,0,0,747,0
179.2225,1397.963,100000,18.00288,5.119999,224.7873,False,0,0,749,0
179.4894,1399.991,100000,19.99083,5.12,224.8,False,0,0,750,0
179.7539,1402.019,100000,21.97875,5.12,224.7876,False,0,0,751,0
180.0224,1404.203,100000,24.12053,5.12,224.7466,False,0,0,752,0
180.2881,1406.231,100000,26.1088,5.12,224.6832,False,0,0,754,0
180.5542,1408.259,100000,28.09879,5.12,224.5952,False,0,0,755,0
180.8211,1410.443,100000,30.24361,5.12,224.4747,False,0,0,756,0
181.0877,1412.471,100000,32.23457,5.12,224.3385,False,0,0,757,0
181.3539,1414.499,100000,34.23027,5.12,224.1801,False,0,0,758,0
181.6238,1416.683,100000,36.37764,5.12,223.9866,False,0,0,760,0
181.8875,1418.711,100000,38.37601,5.12,223.7851,False,0,0,761,0
182.1539,1420.739,100000,40.37674,5.12,223.566,False,0,0,762,0
182.4218,1422.923,100000,42.53156,5.12,223.3097,False,0,0,763,0
182.6882,1424.952,100000,44.53942,5.12,223.0552,False,0,0,765,0
182.9548,1426.98,100000,46.54418,5.12,222.7872,False,0,0,766,0
183.2204,1429.164,100000,48.71115,5.12,222.483,False,0,0,767,0
183.4884,1431.192,100000,50.72385,5.12,222.191,False,0,0,768,0
183.788,1433.532,100000,53.05036,5.12,221.8411,False,0,0,770,0
184.053,1435.56,100000,55.07196,5.12,221.5317,False,0,0,771,0
184.3181,1437.588,100000,57.0922,5.12,221.2169,False,0,0,772,0
184.5855,1439.772,100000,59.27776,5.12,220.874,False,0,0,773,0
184.8533,1441.8,100000,61.30368,5.12,220.5566,False,0,0,774,0
185.119,1443.984,100000,63.49366,5.12,220.2141,False,0,0,776,0
185.3885,1446.012,100000,65.52959,5.12,219.9014,False,0,0,777,0
185.6531,1448.04,100000,67.56657,5.12,219.593,False,0,0,778,0
185.9179,1450.068,100000,69.6115,5.12,219.2922,False,0,0,779,0
186.1874,1452.253,100000,71.80993,5.12,218.9797,False,0,0,781,0
186.4517,1454.281,100000,73.85932,5.12,218.7001,False,0,0,782,0
186.7183,1456.465,100000,76.06633,5.12,218.4155,False,0,0,783,0
186.985,1458.493,100000,78.11879,5.12,218.1655,False,0,0,784,0
187.2513,1460.521,100000,80.17586,5.12,217.9332,False,0,0,785,0
187.5192,1462.705,100000,82.38975,5.12,217.7032,False,0,0,787,0
187.7867,1464.733,100000,84.45162,5.12,217.5098,False,0,0,788,0
188.0512,1466.761,100000,86.51182,5.12,217.3385,False,0,0,789,0
188.3195,1468.945,100000,88.73404,5.12,217.1779,False,0,0,790,0
188.5865,1470.973,100000,90.79925,5.12,217.0536,False,0,0,792,0
188.8521,1473.001,100000,92.86462,5.12,216.9531,False,0,0,793,0
189.1188,1475.185,100000,95.09344,5.12,216.8727,False,0,0,794,0
189.3838,1477.214,100000,97.16549,5.12,216.8286,False,0,0,795,0
189.6602,1479.398,100000,99.37148,5.12,216.8049,False,0,0,796,0
189.9256,1481.426,100000,101.4228,5.12,216.7944,False,0,0,798,0
190.1934,1483.454,100000,103.4616,5.12,216.7975,False,0,0,799,0
190.4575,1485.482,100000,105.4819,5.12,216.8,False,0,0,800,0
190.7257,1487.666,100000,107.6659,5.12,216.8,False,0,0,801,0
190.993,1489.694,100000,109.6939,5.12,216.8,False,0,0,803,0
191.2577,1491.722,100000,111.7221,5.12,216.8,False,0,0,804,0
191.5254,1493.906,100000,113.9061,5.12,216.8,False,0,0,805,0
191.7879,1495.934,100000,115.9341,5.12,216.8,False,0,0,806,0
192.0556,1497.962,100000,117.9623,5.12,216.8,False,0,0,807,0
192.3206,1500.146,100000,120.1463,5.12,216.8,False,0,0,809,0
192.5885,1502.174,100000,122.1745,5.12,216.8,False,0,0,810,0
192.8544,1504.203,100000,124.2026,5.12,216.8,False,0,0,811,0
193.1218,1506.387,100000,126.3866,5.12,216.8,False,0,0,812,0
193.3876,1508.415,100000,128.4148,5.12,216.8,False,0,0,814,0
193.6549,1510.443,100000,130.4387,5.12001,216.7997,False,0,0,815,0
193.9207,1512.627,100000,132.6266,5.12005,216.7937,False,0,0,816,0
194.1874,1514.655,100000,134.6808,5.120007,216.7972,False,0,0,817,0
194.4551,1516.683,100000,136.7069,5.119797,216.8183,False,0,0,818,0
194.7207,1518.867,100000,138.8962,5.119349,216.8606,False,0,0,820,0
194.9904,1520.895,100000,140.9134,5.118607,216.9373,False,0,0,821,0
195.2566,1522.923,100000,142.8889,5.117523,217.0482,False,0,0,822,0
195.5226,1525.107,100000,144.9832,5.116007,217.2042,False,0,0,823,0
195.7887,1527.135,100000,146.8968,5.114266,217.3832,False,0,0,825,0
196.0538,1529.163,100000,148.7802,5.11221,217.5952,False,0,0,826,0
196.3213,1531.348,100000,150.7753,5.109653,217.8605,False,0,0,827,0
196.5874,1533.376,100000,152.5965,5.106941,218.1412,False,0,0,828,0
196.8556,1535.404,100000,154.3882,5.103913,218.4553,False,0,0,829,0
197.1205,1537.588,100000,156.284,5.100318,218.8308,False,0,0,831,0
197.3898,1539.616,100000,158.0131,5.096635,219.2144,False,0,0,832,0
197.6559,1541.644,100000,159.7123,5.092637,219.6317,False,0,0,833,0
197.9216,1543.828,100000,161.5085,5.088004,220.1189,False,0,0,834,0
198.1891,1545.856,100000,163.145,5.083352,220.6065,False,0,0,836,0
198.4539,1547.884,100000,164.7513,5.078384,221.1281,False,0,0,837,0
198.7199,1550.068,100000,166.4472,5.072659,221.7282,False,0,0,838,0
198.9889,1552.096,100000,167.9901,5.067007,222.321,False,0,0,839,0
199.2555,1554.124,100000,169.5025,5.061037,222.9483,False,0,0,840,0
