time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
25.50358,-1,11330,240,0.145,239.2947,True,16.35718,14,0,0,0
26.00118,-1,11330,240,0.145,239.2947,True,16.85478,15,0,0,0
26.50593,-1,11330,240,0.145,239.2947,True,17.35953,15,0,0,0
27.01172,-1,11330,240,0.145,239.2947,True,17.86532,16,0,0,0
27.51113,-1,11330,240,0.145,239.2947,True,18.36472,16,0,0,0
28.01007,-1,11330,240,0.145,239.2947,True,18.86366,17,0,0,0
28.51181,-1,11330,240,0.145,239.2947,True,19.36541,17,0,0,0
29.00501,-1,11330,240,0.145,239.2947,True,19.8586,18,0,0,0
29.5008,-1,11330,240,0.145,239.2947,True,20.35439,18,0,0,0
30.00249,-1,11330,240,0.145,239.2947,True,20.8561,19,0,0,0
30.51384,-1,11330,240,0.145,239.2947,True,21.36744,19,0,0,0
31.01266,-1,11330,240,0.145,239.2947,True,21.86625,20,0,0,0
31.5007,-1,11330,240,0.145,239.2947,True,22.35431,20,0,0,0
32.0009,-1,11330,240,0.145,239.2947,True,22.8545,21,0,0,0
32.50784,-1,11330,240,0.145,239.2947,True,23.36144,22,0,0,0
33.01252,-1,11330,240,0.145,239.2947,True,23.86612,22,0,0,0
33.52415,-1,11330,240,0.145,239.2947,True,24.37776,23,0,0,0
34.00475,-1,11330,240,0.145,239.2947,True,24.85835,24,0,0,0
34.50124,-1,11330,240,0.145,239.2947,True,25.35484,24,0,0,0
35.00127,-1,11330,240,0.145,239.2947,True,25.85488,25,0,0,0
35.51205,-1,11330,240,0.145,239.2947,True,26.36565,25,0,0,0
36.02551,-1,11330,240,0.145,239.2947,True,26.8791,26,0,0,0
36.50097,-1,11330,240,0.145,239.2947,True,27.35455,27,0,0,0
37.01179,-1,11330,240,0.145,239.2947,True,27.86538,27,0,0,0
37.51147,-1,11330,240,0.145,239.2947,True,28.36506,28,0,0,0
38.01509,-1,11098,240,0.145,239.2947,True,28.86867,28,0,0,0
38.50075,-1,11098,240,0.145,239.2947,True,29.35434,28,0,0,0
39.01284,-1,11098,240,0.145,239.2947,True,29.86642,28,0,0,0
39.50325,-1,11330,240,0.145,241.9468,False,30,28,0,0,0
40.01103,-1,11330,240,0.145,245.8469,False,30,28,0,0,0
40.51195,-1,11330,240,0.145,249.7471,False,30,28,0,0,0
41.02119,-1,11330,240,0.145,253.8032,False,30,28,0,0,0
41.50217,-1,11330,240,0.145,257.5474,False,30,28,0,0,0
42.01425,-1,11330,240,0.145,261.4475,False,30,28,0,0,0
42.50462,-1,11330,240,0.145,265.3477,False,30,28,0,0,0
43.00177,-1,11330,240,0.145,269.2478,False,30,28,0,0,0
43.5026,-1,11330,240,0.145,273.1479,False,30,28,0,0,0
44.01085,-1,11330,240,0.145,277.0481,False,30,28,0,0,0
44.50694,-1,11330,240,0.145,280.9482,False,30,28,0,0,0
45.01559,-1,11330,240,0.12,284.8484,False,30,28,0,0,0
45.51314,-1,11330,240,0.12,288.7485,False,30,28,0,0,0
46.0018,-1,11330,240,0.12,292.6487,False,30,28,0,0,0
