time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
10.71589,83.61544,5660,-423.2705,0.128,-656.5138,False,0,0,43,0
10.98201,85.64342,5660,-423.3716,0.128,-654.5576,False,0,0,44,0
11.24876,87.82739,5660,-423.5296,0.128,-652.4499,False,0,0,46,0
11.51607,89.85537,5660,-423.7216,0.128,-650.4915,False,0,0,47,0
11.78072,91.88335,5660,-423.9565,0.128,-648.5314,False,0,0,48,0
12.04647,94.06732,5660,-424.257,0.128,-646.4186,False,0,0,49,0
12.31549,96.0953,5660,-424.5792,0.128,-644.4617,False,0,0,50,0
12.57982,98.12328,5660,-424.9461,0.128,-642.4879,False,0,0,51,0
12.8494,100.3073,5660,-425.3798,0.128,-640.3383,False,0,0,52,0
13.11393,102.3352,5660,-425.8146,0.128,-638.3411,False,0,0,53,0
13.38279,104.5192,5660,-426.3162,0.128,-636.1457,False,0,0,54,0
13.6495,106.5472,5660,-426.7983,0.128,-634.0976,False,0,0,55,0
13.91417,108.5752,5660,-427.2981,0.128,-632.0399,False,0,0,56,0
14.18158,110.6031,5660,-427.8147,0.128,-629.9689,False,0,0,57,0
14.44916,112.7871,5660,-428.3869,0.128,-627.724,False,0,0,58,0
14.71535,114.8151,5660,-428.9317,0.128,-625.6298,False,0,0,59,0
14.98035,116.8431,5660,-429.4884,0.128,-623.5154,False,0,0,60,0
15.24681,119.027,5660,-430.0971,0.128,-621.2318,False,0,0,62,0
15.51604,121.055,5660,-430.6714,0.128,-619.0922,False,0,0,63,0
15.78049,123.083,5660,-431.2501,0.128,-616.9452,False,0,0,64,0
16.04802,125.267,5660,-431.8788,0.128,-614.6213,False,0,0,65,0
16.3132,127.2949,5660,-432.4637,0.128,-612.4495,False,0,0,66,0
16.58142,129.323,5660,-433.048,0.128,-610.28,False,0,0,67,0
16.84663,131.5071,5660,-433.679,0.128,-607.9163,False,0,0,68,0
17.14515,133.8472,5660,-434.3469,0.128,-605.3942,False,0,0,69,0
17.41176,135.8752,5660,-434.9246,0.128,-603.1896,False,0,0,70,0
17.67835,137.9033,5660,-435.4905,0.128,-600.9932,False,0,0,71,0
17.94266,140.0874,5660,-436.0949,0.128,-598.6268,False,0,0,72,0
18.21145,142.1155,5660,-436.6437,0.128,-596.4163,False,0,0,73,0
18.47692,144.1435,5660,-437.1801,0.128,-594.2313,False,0,0,74,0
18.74396,146.3276,5660,-437.7484,0.128,-591.8512,False,0,0,76,0
19.01018,148.3557,5660,-438.2563,0.128,-589.67,False,0,0,77,0
19.27864,150.3838,5660,-438.754,0.128,-587.4882,False,0,0,78,0
19.54506,152.5679,5660,-439.2661,0.128,-585.1405,False,0,0,79,0
19.81093,154.5959,5660,-439.725,0.128,-582.9923,False,0,0,80,0
20.07745,156.624,5660,-440.1664,0.128,-580.8194,False,0,0,81,0
20.34418,158.8081,5660,-440.6147,0.128,-578.532,False,0,0,82,0
20.6114,160.8362,5660,-441.0146,0.128,-576.3945,False,0,0,83,0
20.87911,162.8642,5660,-441.3857,0.128,-574.2859,False,0,0,84,0
21.14246,165.0483,5660,-441.7645,0.128,-572.0436,False,0,0,85,0
21.41086,167.0764,5660,-442.0867,0.128,-569.9505,False,0,0,86,0
21.67727,169.1045,5660,-442.3838,0.128,-567.9064,False,0,0,87,0
21.94449,171.2886,5660,-442.6775,0.128,-565.6912,False,0,0,88,0
22.21007,173.3166,5660,-442.9176,0.128,-563.6725,False,0,0,89,0
22.47753,175.3447,5660,-443.1333,0.128,-561.6714,False,0,0,90,0
22.74266,177.5288,5660,-443.3292,0.128,-559.5203,False,0,0,92,0
23.00977,179.5569,5660,-443.4819,0.128,-557.5642,False,0,0,93,0
23.27843,181.5849,5660,-443.6031,0.128,-555.5961,False,0,0,94,0
23.54374,183.769,5660,-443.6981,0.128,-553.5143,False,0,0,95,0
23.80979,185.7971,5660,-443.7542,0.128,-551.5914,False,0,0,96,0
24.078,187.8252,5660,-443.7766,0.128,-549.6805,False,0,0,97,0
24.34412,190.0093,5660,-443.7653,0.128,-547.6489,False,0,0,98,0
24.61023,192.0373,5660,-443.7194,0.128,-545.7603,False,0,0,99,0
24.87834,194.0654,5660,-443.6408,0.128,-543.8926,False,0,0,100,0
25.17159,196.4055,5660,-443.5093,0.128,-541.747,False,0,0,101,0
25.43757,198.4336,5660,-443.3593,0.128,-539.8917,False,0,0,102,0
25.70278,200.6177,5660,-443.1624,0.128,-537.9131,False,0,0,103,0
25.97193,202.6457,5660,-442.9455,0.128,-536.0696,False,0,0,104,0
26.23674,204.6738,5660,-442.6978,0.128,-534.2351,False,0,0,106,0
26.5041,206.8579,5660,-442.3971,0.128,-532.2596,False,0,0,107,0
26.76886,208.886,5660,-442.087,0.128,-530.4244,False,0,0,108,0
27.03761,210.914,5660,-441.7488,0.128,-528.5901,False,0,0,109,0
27.30297,213.0981,5660,-441.3553,0.128,-526.6112,False,0,0,110,0
27.57048,215.1262,5660,-440.9627,0.128,-524.7672,False,0,0,111,0
27.8387,217.1543,5660,-440.5464,0.128,-522.9207,False,0,0,112,0
28.10595,219.3384,5660,-440.0735,0.128,-520.9169,False,0,0,113,0
28.36951,221.3664,5660,-439.6111,0.128,-519.0483,False,0,0,114,0
28.63763,223.3945,5660,-439.132,0.128,-517.1727,False,0,0,115,0
28.90326,225.5786,5660,-438.5941,0.128,-515.1284,False,0,0,116,0
29.17292,227.6067,5660,-438.0816,0.128,-513.2338,False,0,0,117,0
29.43719,229.6348,5660,-437.5531,0.128,-511.3069,False,0,0,118,0
29.70479,231.8188,5660,-436.9713,0.128,-509.2306,False,0,0,119,0
29.97087,233.8469,5660,-436.423,0.128,-507.2826,False,0,0,120,0
30.23686,235.875,5660,-435.862,0.128,-505.3097,False,0,0,122,0
30.50359,238.0591,5660,-435.2564,0.128,-503.1891,False,0,0,123,0
30.7701,240.0871,5660,-434.6858,0.128,-501.1757,False,0,0,124,0
31.03791,242.1152,5660,-434.1147,0.128,-499.1783,False,0,0,125,0
31.30371,244.2993,5660,-433.5009,0.128,-496.9966,False,0,0,126,0
31.56972,246.3274,5660,-432.9255,0.128,-494.9483,False,0,0,127,0
31.83546,248.3555,5660,-432.36,0.128,-492.9049,False,0,0,128,0
32.10699,250.5395,5660,-431.7503,0.128,-490.6655,False,0,0,129,0
32.37193,252.5676,5660,-431.194,0.128,-488.6014,False,0,0,130,0
32.64275,254.7517,5660,-430.6036,0.128,-486.3466,False,0,0,131,0
32.91008,256.7798,5660,-430.0614,0.128,-484.2543,False,0,0,132,0
33.20993,259.1198,5660,-429.4537,0.128,-481.8295,False,0,0,133,0
33.47515,261.1479,5660,-428.9362,0.128,-479.7138,False,0,0,134,0
33.7401,263.176,5660,-428.436,0.128,-477.6081,False,0,0,136,0
34.00785,265.3601,5660,-427.9115,0.128,-475.3203,False,0,0,137,0
34.27381,267.3882,5660,-427.4427,0.128,-473.2126,False,0,0,138,0
