time,health,distance,holdout,spawned,x,y,z
18.01756,11330,-1,False,0,-3.2,0.12,-279.4387
18.52678,11330,-1,False,0,-3.2,0.12,-275.5386
19.02769,11330,-1,False,0,-3.2,0.12,-271.6384
19.50999,9354,-1,False,0,-3.2,0.12,-267.8943
20.0052,9354,-1,False,0,-3.2,0.12,-263.9941
20.50856,9354,-1,False,0,-3.2,0.12,-260.094
21.00912,9354,-1,False,0,-3.2,0.12,-256.1938
21.50174,9354,-1,False,0,-3.2,0.12,-252.2937
22.01702,9354,-1,False,0,-3.2,0.12,-248.2375
22.50239,9354,-1,False,0,-3.2,0.12,-244.4934
23.01117,9354,-1,False,0,-3.2,0.12,-240.5933
23.51435,9354,-1,False,0,-3.2,0.12,-236.6931
24.00597,9354,-1,False,0,-3.2,0.12,-232.793
24.51761,9354,-1,False,0,-3.2,0.12,-228.7368
25.0055,10922.44,-1,False,0,-3.2,0.12,-224.9927
25.50854,10922.44,-1,False,0,-3.2,0.12,-221.0925
26.01057,10922.44,-1,False,0,-3.2,0.12,-217.1924
26.50304,10922.44,-1,False,0,-3.2,0.12,-213.2922
27.00488,10922.44,-1,False,0,-3.2,0.12,-209.3921
27.51202,10922.44,-1,False,0,-3.2,0.12,-205.4919
28.01787,10922.44,-1,False,0,-3.2,0.12,-201.4358
28.5047,10922.44,-1,False,0,-3.2,0.12,-197.6917
29.02115,10922.44,-1,False,0,-3.2,0.12,-193.6355
29.50701,10922.44,-1,False,0,-3.2,0.12,-189.8914
30.01,10922.44,-1,False,0,-3.2,0.12,-185.9912
30.50014,10922.44,-1,False,0,-3.2,0.12,-182.0911
31.00474,10922.44,-1,False,0,-3.2,0.12,-178.1909
31.51321,10922.44,-1,False,0,-3.2,0.12,-174.2908
32.02328,10922.44,-1,False,0,-3.2,0.12,-170.2346
32.50362,10922.44,-1,False,0,-3.2,0.12,-166.4905
33.0046,10922.44,-1,False,0,-3.2,0.12,-162.5903
33.50648,10932.44,-1,False,0,-3.2,0.12,-158.6902
34.04808,10932.44,-1,False,0,-3.2,0.12,-154.478
34.50383,10211.44,-1,False,0,-3.2,0.12,-150.8899
35.01339,10211.44,-1,False,0,-3.2,0.12,-146.9897
35.50436,10211.44,-1,False,0,-3.2,0.12,-143.0896
36.01085,10211.44,-1,False,0,-3.2,0.12,-139.1895
36.51226,10211.44,-1,False,0,-3.2,0.12,-135.2893
37.00145,10211.44,-1,False,0,-3.2,0.12,-131.3892
37.51536,10211.44,-1,False,0,-3.2,0.12,-127.489
38.00472,10211.44,-1,False,0,-3.2,0.12,-123.5891
38.52456,10211.44,-1,False,0,-3.2,0.12,-119.5331
39.00789,10211.44,-1,False,0,-3.2,0.12,-115.7892
39.51304,9461.443,-1,False,0,-3.2,0.12,-111.8892
40.00493,9461.443,-1,False,0,-3.2,0.12,-107.9893
40.50477,9461.443,-1,False,0,-3.2,0.12,-104.0893
41.01222,9461.443,-1,False,0,-3.2,0.12,-100.1894
41.51398,9461.443,-1,False,0,-3.2,0.12,-96.2894
42.02607,9461.443,-1,False,0,-3.2,0.12,-92.23344
42.51185,9461.443,-1,False,0,-3.2,0.12,-88.48949
43.01058,9461.443,-1,False,0,-3.2,0.12,-84.58953
43.50587,9461.443,-1,False,0,-3.2,0.12,-80.68958
44.01283,9461.443,-1,False,0,-3.2,0.12,-76.78962
